DateTime,<tspan>IN (In)</tspan>,<tspan>OUT (Out)</tspan>
2/10/2026 0:00,245,160
2/11/2026 0:00,207,143
2/12/2026 0:00,347,220
2/13/2026 0:00,295,261
2/14/2026 0:00,189,207
2/15/2026 0:00,136,100
2/16/2026 0:00,78,71
2/17/2026 0:00,155,131
2/18/2026 0:00,247,154
2/19/2026 0:00,254,169
2/20/2026 0:00,271,240
2/21/2026 0:00,187,185
2/22/2026 0:00,217,150
2/23/2026 0:00,289,155
2/24/2026 0:00,238,167
2/25/2026 0:00,296,224
2/26/2026 0:00,347,236
2/27/2026 0:00,340,302
2/28/2026 0:00,306,255
3/1/2026 0:00,211,205
3/2/2026 0:00,306,235
3/3/2026 0:00,301,214
